key,year,incoming,value
in Major,1999,0,0
in Major,2000,0,0
in Major,2001,2,0
in Major,2002,15,1
in Major,2003,13,2
in Major,2004,18,5
in Major,2005,27,7
in Major,2006,13,3
in Major,2007,10,1
in Major,2008,13,5
in Major,2009,10,0
in Major,2010,17,0
in Major,2011,15,0
in College,1999,0,0
in College,2000,0,0
in College,2001,2,0
in College,2002,15,1
in College,2003,13,2
in College,2004,18,5
in College,2005,27,7
in College,2006,13,4
in College,2007,10,1
in College,2008,13,5
in College,2009,10,0
in College,2010,17,0
in College,2011,15,0
in University,1999,0,0
in University,2000,0,0
in University,2001,2,0
in University,2002,15,9
in University,2003,13,3
in University,2004,18,11
in University,2005,27,9
in University,2006,13,6
in University,2007,10,1
in University,2008,13,5
in University,2009,10,0
in University,2010,17,0
in University,2011,15,0